Artist(S) Name,Cover Url,Key,Mode,Released Day,Released Month,Released Year,Released Year (bin),Track Name,Acousticness %,Artist Count,Bpm,Danceability %,Energy %,In Apple Charts,In Apple Playlists,In Deezer Charts,In Deezer Playlists,In Shazam Charts,In Spotify Charts,In Spotify Playlists,Instrumentalness %,Liveness %,Speechiness %,Streams,Valence %
Ed Sheeran,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,E,Major,20,6,2014,2010,Photograph,61,1,108,61,38,105,228,0,2453,84,3,18778,0,10,5,2236667932,20
Justin Bieber,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,E,Major,9,11,2015,2015,Love Yourself,84,1,100,61,38,87,289,0,2430,36,5,22730,0,28,44,2123309722,53
Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,D#,Minor,13,5,2022,2020,N95,38,1,140,81,66,16,52,0,65,206,0,5542,0,12,14,301242089,39
Lizzo,https://i.scdn.co/image/ab67616d0000b273b817e721691aff3d67f26c04,A#,Minor,14,4,2022,2020,About Damn Time,10,1,109,84,74,49,242,21,272,24,0,9021,0,34,7,723894473,72
"Kendrick Lamar, Blxst, Amanda Reifer",https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,C#,Minor,13,5,2022,2020,Die Hard,36,3,101,78,74,13,38,0,32,0,0,4627,0,17,27,237351106,40
Bad Bunny,Not Found,F,Major,6,5,2022,2020,DespuÃ¯Â¿Â½Ã¯Â¿Â½s de la P,36,1,78,56,90,44,27,0,24,5,0,2229,0,18,31,461558540,61
Bad Bunny,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,,Minor,6,5,2022,2020,Un Ratito,31,1,93,79,55,30,7,1,13,1,6,1112,0,12,5,417230415,22
Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,G#,Major,13,5,2022,2020,United In Grief,24,1,87,52,83,5,4,0,12,51,0,2575,0,17,43,156898322,32
"Kendrick Lamar, Sampha",https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,A#,Minor,13,5,2022,2020,Father Time (feat. Sampha),19,2,153,55,78,0,4,0,22,0,0,3107,0,11,35,127309180,50
Bad Bunny,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,,Major,6,5,2022,2020,Yo No Soy Celoso,28,1,142,87,59,21,7,0,11,0,0,1179,0,17,5,313113297,93
Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,A#,Minor,13,5,2022,2020,Rich Spirit,39,1,96,85,43,10,20,0,33,0,0,3486,0,12,21,173702135,41
"Post Malone, Roddy Ricch",https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97,,Major,12,5,2022,2020,Cooped Up (with Roddy Ricch),4,2,125,50,78,28,42,0,43,0,0,2942,0,11,33,271666301,39
Bad Bunny,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,A#,Major,6,5,2022,2020,Me Fui de Vacaciones,23,1,85,71,65,11,9,1,22,0,0,1443,0,9,5,305650299,43
"Kendrick Lamar, Kodak Black",https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,C#,Minor,13,5,2022,2020,Silent Hill,46,2,140,92,57,0,22,0,23,0,0,3028,0,14,9,123216717,78
"Tony Dize, Bad Bunny",Not Found,B,Minor,6,5,2022,2020,La Corriente,23,2,196,66,79,25,8,1,18,0,8,1796,0,22,20,479655659,58
Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,G,Major,13,5,2022,2020,Count Me Out,69,1,134,78,43,7,3,0,13,1,0,2729,0,14,9,126191104,51
"Buscabulla, Bad Bunny",Not Found,C#,Minor,6,5,2022,2020,Andrea,76,2,103,80,62,30,8,1,13,1,0,1195,0,10,38,344055883,45
Bad Bunny,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,C#,Major,6,5,2022,2020,Dos Mil 16,12,1,130,82,67,24,10,0,11,0,3,892,0,13,5,338422004,50
"Kendrick Lamar, Taylour Paige",https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,B,Major,13,5,2022,2020,We Cry Together,31,2,108,65,69,1,4,0,6,0,0,1635,0,8,36,68895644,52
"Kendrick Lamar, Sam Dew, Baby Keem",https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,G#,Major,13,5,2022,2020,Savior,53,3,123,61,71,0,9,0,8,0,0,2291,0,32,46,86176890,66
Bad Bunny,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,B,Major,6,5,2022,2020,Un Coco,21,1,152,84,69,28,5,0,9,0,28,1029,0,18,6,403231558,74
"Bad Bunny, The MarÃ¯Â¿Â½Ã¯",Not Found,D,Major,6,5,2022,2020,Otro Atardecer,59,2,108,78,60,30,10,0,13,33,7,1681,0,7,4,319546754,55
Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,A#,Minor,13,5,2022,2020,Worldwide Steppers,76,1,72,56,47,0,1,0,5,0,0,1480,0,8,36,61739839,56
Bad Bunny,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,F#,Minor,6,5,2022,2020,Aguacero,42,1,121,86,65,15,4,0,10,0,0,829,0,35,7,283359161,67
"Kendrick Lamar, Ghostface Killah, Summer Walker",https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,D#,Minor,13,5,2022,2020,Purple Hearts,19,3,138,57,82,0,7,0,7,0,0,2308,0,15,29,76831876,71
Bad Bunny,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,F,Minor,6,5,2022,2020,Un Verano Sin Ti,69,1,188,50,50,12,8,0,9,0,1,1004,0,12,6,283332261,41
"Polima WestCoast, Pailita",https://i.scdn.co/image/ab67616d0000b27353f35bf4da7e552b28d409dd,C#,Major,14,2,2022,2020,ULTRA SOLO,23,2,110,80,85,4,48,1,34,0,0,1367,0,11,21,307752576,26
Bad Bunny,Not Found,G#,Major,6,5,2022,2020,EnsÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ame,19,1,105,81,79,25,7,0,12,0,3,1112,0,47,8,279737940,77
Bad Bunny,Not Found,G#,Major,6,5,2022,2020,El ApagÃ¯Â¿Â½,5,1,118,63,70,7,9,0,14,1,0,1209,0,9,31,212351890,60
"Bad Bunny, Tainy",https://i.scdn.co/image/ab67616d0000b2734aef420e62863ebf622c27f5,D,Major,31,5,2019,2015,Callaita,60,2,176,61,62,116,162,7,355,0,15,9539,0,24,31,1304313953,24
Jack Harlow,https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb,B,Major,6,5,2022,2020,Dua Lipa,0,1,158,83,65,0,35,0,3,0,0,1992,10,11,8,150500965,41
Bad Bunny,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,C#,Minor,6,5,2022,2020,Agosto,9,1,115,85,58,20,6,0,8,0,0,897,0,49,12,246127838,72
Panic! At The Disco,https://i.scdn.co/image/ab67616d0000b27323152d9337d6c57b116ed13a,B,Minor,15,1,2016,2015,House Of Memories,0,1,110,51,82,2,10,0,150,0,0,2948,0,5,3,582863434,48
"Kendrick Lamar, Tanna Leone",https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,A,Major,13,5,2022,2020,Mr. Morale,30,2,174,73,54,0,1,0,3,0,0,1860,0,34,32,58687425,26
"PSY, Suga",https://i.scdn.co/image/ab67616d0000b273b5c128b71507ef309ff4912e,E,Major,29,4,2022,2020,That That (prod. & feat. SUGA of BTS),3,2,130,91,96,81,16,0,23,0,0,802,0,3,9,212109195,91
Benson Boone,https://i.scdn.co/image/ab67616d0000b273786e4e2c43c2897fafabbfb6,A#,Major,29,4,2022,2020,In The Stars,34,1,78,36,54,40,48,1,87,210,8,2224,0,14,5,382199619,30
Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,G,Major,13,5,2022,2020,Rich - Interlude,88,1,104,44,42,0,0,0,0,0,0,1103,0,9,9,41210087,74
MÃ¯Â¿Â½Ã¯Â¿Â½ne,Not Found,G,Major,13,5,2022,2020,SUPERMODEL,0,1,121,64,88,12,93,11,173,3,0,2265,0,12,6,231657891,80
KALUSH,https://i.scdn.co/image/ab67616d0000b2739e9968776683d0a7099e2930,D,Major,10,3,2022,2020,Stefania (Kalush Orchestra),14,1,105,83,82,4,10,0,4,0,0,555,0,12,4,53729194,32
The Kid Laroi,https://i.scdn.co/image/ab67616d0000b27386322307ddfb6e9c87b82d39,G,Major,22,4,2022,2020,Thousand Miles,9,1,81,38,66,9,52,0,46,1,0,2050,0,9,8,244741137,20
Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,C#,Minor,13,5,2022,2020,Crown,80,1,170,37,24,0,2,0,10,0,0,1493,0,11,4,42485571,14
Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,G,Major,13,5,2022,2020,Auntie Diaries,76,1,78,43,38,0,1,0,4,0,0,1545,1,48,38,37778188,60
Future,https://i.scdn.co/image/ab67616d0000b27386badd635b69aea887862214,G#,Major,29,4,2022,2020,PUFFIN ON ZOOTIEZ,6,1,125,88,66,42,28,0,23,0,0,2350,0,13,31,254218729,28
Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,E,Minor,13,5,2022,2020,Mirror,23,1,92,66,65,0,2,0,4,0,0,1929,0,8,7,53603447,29
Luciano,https://i.scdn.co/image/ab67616d0000b2731471ae084d0835cfc320fa6a,B,Minor,22,4,2022,2020,Beautiful Girl,31,1,140,84,42,11,16,0,18,0,4,710,0,9,9,160035717,61
"Bizarrap, Paulo Londra",https://i.scdn.co/image/ab67616d0000b27342f5c9660f46df77e7ab71be,,Major,25,4,2022,2020,"Paulo Londra: Bzrp Music Sessions, Vol. 23",25,2,96,61,90,0,19,0,7,0,0,928,0,10,9,164163229,32
