Artist(S) Name,Cover Url,Key,Mode,Released Day,Released Month,Released Year,Released Year (bin),Track Name,Acousticness %,Artist Count,Bpm,Danceability %,Energy %,In Apple Charts,In Apple Playlists,In Deezer Charts,In Deezer Playlists,In Shazam Charts,In Spotify Charts,In Spotify Playlists,Instrumentalness %,Liveness %,Speechiness %,Streams,Valence %
"Latto, Jung Kook",Not Found,B,Major,14,7,2023,2020,Seven (feat. Latto) (Explicit Ver.),31,2,125,80,83,263,43,10,45,826,147,553,0,8,4,141381703,89
Myke Towers,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,C#,Major,23,3,2023,2020,LALA,7,1,92,71,74,126,48,14,58,382,48,1474,0,10,4,133716286,61
Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,F,Major,30,6,2023,2020,vampire,17,1,138,51,53,207,94,14,91,949,113,1397,0,31,6,140003974,32
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,A,Major,23,8,2019,2015,Cruel Summer,11,1,170,55,72,207,116,12,125,548,100,7858,0,11,15,800840817,58
Bad Bunny,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,A,Minor,18,5,2023,2020,WHERE SHE GOES,14,1,144,65,80,133,84,15,87,425,50,3133,63,11,6,303236322,23
"Dave, Central Cee",https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,C#,Major,1,6,2023,2020,Sprinter,19,2,141,92,58,213,67,17,88,946,91,2186,0,8,24,183706234,66
"Eslabon Armado, Peso Pluma",https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,F,Minor,16,3,2023,2020,Ella Baila Sola,48,2,148,67,76,222,34,13,43,418,50,3090,0,8,3,725980112,83
Quevedo,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,F,Major,7,7,2023,2020,Columbia,37,1,100,67,71,89,25,13,30,194,43,714,0,11,4,58149378,26
Gunna,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,C#,Minor,15,5,2023,2020,fukumean,12,1,130,85,62,210,60,11,48,953,83,1096,0,28,9,95217315,22
"Peso Pluma, Yng Lvcas",Not Found,D,Minor,17,3,2023,2020,La Bebe - Remix,21,2,170,81,48,110,49,13,66,339,44,2953,0,8,33,553634067,56
"Bad Bunny, Grupo Frontera",Not Found,F#,Minor,17,4,2023,2020,un x100to,23,2,83,57,72,205,41,12,54,251,40,2876,0,27,5,505671438,56
NewJeans,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,F,Minor,7,7,2023,2020,Super Shy,18,1,150,78,82,202,37,5,21,168,55,422,0,15,7,58255150,52
Miley Cyrus,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46,,Major,12,1,2023,2020,Flowers,6,1,118,71,68,215,300,58,745,1021,115,12211,0,3,7,1316855716,65
David Kushner,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,D,Minor,14,4,2023,2020,Daylight,83,1,130,51,43,156,80,24,182,1281,98,3528,0,9,3,387570742,32
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,F#,Minor,31,3,2022,2020,As It Was,34,1,174,52,73,198,403,46,863,,130,23575,0,31,6,2513188493,66
SZA,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,G#,Major,8,12,2022,2020,Kill Bill,5,1,89,64,73,162,183,12,161,187,77,8109,17,16,4,1163093654,43
Fifty Fifty,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,B,Minor,24,2,2023,2020,Cupid - Twin Ver.,43,1,120,78,59,212,91,6,78,0,77,2942,0,34,3,496795686,76
Billie Eilish,Not Found,,Major,13,7,2023,2020,"What Was I Made For? [From The Motion Picture ""Barbie""]",96,1,78,44,9,227,80,24,95,1173,104,873,0,10,3,30546883,14
"Feid, Young Miko",https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a,B,Major,31,3,2023,2020,Classy 101,14,2,100,86,66,100,43,14,54,187,40,2610,0,12,16,335222234,67
Jimin,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,G,Major,24,3,2023,2020,Like Crazy,0,1,120,63,73,104,8,2,23,29,68,596,0,36,4,363369738,36
"Gabito Ballesteros, Junior H, Peso Pluma",Not Found,F,Minor,22,6,2023,2020,LADY GAGA,22,3,140,65,74,163,11,4,10,0,26,332,0,42,4,86444842,87
Taylor Swift,Not Found,F#,Major,7,7,2023,2020,I Can See You (TaylorÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s Version) (From The,6,1,123,69,76,119,73,1,42,150,38,516,0,6,3,52135248,82
Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,,Minor,1,1,2013,2010,I Wanna Be Yours,12,1,135,48,42,98,24,2,582,73,110,12859,2,11,3,1297026226,44
"Bizarrap, Peso Pluma",https://i.scdn.co/image/ab67616d0000b27315583045b2fdb7d7bab10e81,F,Minor,31,5,2023,2020,"Peso Pluma: Bzrp Music Sessions, Vol. 55",26,2,133,85,67,152,17,11,32,139,40,1313,0,12,5,200647221,81
"The Weeknd, Madonna, Playboi Carti",https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,C#,Major,2,6,2023,2020,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),7,3,99,85,68,182,74,14,87,1093,87,1945,0,36,20,115364561,83
Fuerza Regida,https://i.scdn.co/image/ab67616d0000b273cfe3eb72c48b93971e53efd9,G,Minor,22,6,2023,2020,SABOR FRESA,9,1,130,79,86,149,16,5,10,168,26,250,0,9,9,78300654,96
"RÃ¯Â¿Â½Ã¯Â¿Â½ma, Selena G",Not Found,B,Major,25,3,2022,2020,Calm Down (with Selena Gomez),43,2,107,80,80,119,202,38,318,96,77,7112,0,14,4,899183384,82
"Tainy, Bad Bunny",https://i.scdn.co/image/ab67616d0000b273de7b9af78fbdda96c5a0635b,F#,Minor,29,6,2023,2020,MOJABI GHOST,14,2,122,81,71,109,35,14,41,211,40,859,0,56,4,61245289,74
Morgan Wallen,https://i.scdn.co/image/ab67616d0000b273fc1df8423733f6f3c9e8dea2,F#,Major,31,1,2023,2020,Last Night,46,1,204,52,68,107,52,1,15,325,19,2420,0,15,4,429829812,52
Dua Lipa,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192,B,Minor,25,5,2023,2020,Dance The Night (From Barbie The Album),2,1,110,67,85,0,0,38,143,0,101,2988,0,33,5,127408954,78
Troye Sivan,https://i.scdn.co/image/ab67616d0000b273a4ffb2049ffce92bdae5f559,F,Minor,13,7,2023,2020,Rush,0,1,126,74,84,135,71,1,50,294,78,864,0,11,6,22581161,35
"Peso Pluma, Grupo Frontera",https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba,F#,Major,28,6,2023,2020,TULUM,39,2,168,56,87,185,20,8,13,197,34,266,0,11,5,52294266,63
"The Weeknd, 21 Savage, Metro Boomin",https://i.scdn.co/image/ab67616d0000b273703d523982199b2d1f2c77f5,C#,Minor,2,12,2022,2020,Creepin',36,3,98,71,61,149,113,23,245,27,88,6036,0,8,5,843957510,17
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,E,Major,21,10,2022,2020,Anti-Hero,12,1,97,64,63,142,242,9,165,310,56,9082,0,19,5,999748277,51
"Karol G, Shakira",https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,E,Minor,23,2,2023,2020,TQG,67,2,180,72,63,123,115,18,184,354,49,4284,0,9,28,618990393,61
"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",Not Found,,Major,1,6,2023,2020,Los del Espacio,11,8,120,81,68,33,22,7,34,184,31,1150,0,11,4,123122413,63
"Yahritza Y Su Esencia, Grupo Frontera",Not Found,F#,Major,7,4,2023,2020,FrÃ¯Â¿Â½Ã¯Â¿Â½gil (feat. Grupo Front,37,2,150,61,73,108,19,9,24,212,34,672,0,11,3,188933502,39
Taylor Swift,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,F,Major,1,1,2014,2010,Blank Space,9,1,96,75,68,123,154,2,410,81,53,11434,0,13,6,1355959075,57
Taylor Swift,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,D,Major,1,1,2014,2010,Style,0,1,95,60,79,111,94,4,151,82,42,7830,0,12,4,786181836,48
Fuerza Regida,https://i.scdn.co/image/ab67616d0000b273832ea5d2f8c10f95fc3cc66d,F,Minor,19,5,2023,2020,TQM,27,1,125,79,85,159,16,6,15,100,28,584,0,11,6,176553476,96
"Junior H, Peso Pluma",https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6,A,Minor,10,2,2023,2020,El Azul,23,2,144,56,65,107,10,3,6,62,25,692,0,10,6,354495408,84
"Post Malone, Swae Lee",https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,D,Major,9,10,2018,2015,Sunflower - Spider-Man,54,2,90,76,50,117,372,4,843,69,78,24094,0,7,5,2808096550,91
"Bebe Rexha, David Guetta",Not Found,G,Minor,26,8,2022,2020,I'm Good (Blue),4,2,128,56,97,184,291,45,537,727,80,12482,0,35,4,1109433169,38
"Tyler, The Creator, Kali Uchis",https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,F#,Major,21,7,2017,2015,See You Again,37,3,79,56,56,58,77,1,247,311,64,13387,0,11,10,1047101291,58
"Nicki Minaj, Aqua, Ice Spice",https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116,,Major,23,6,2023,2020,Barbie World (with Aqua) [From Barbie The Album],52,3,144,77,58,145,82,16,65,1133,80,1117,0,23,25,65156199,75
Miley Cyrus,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,F,Major,27,11,2020,2020,Angels Like You,10,1,122,67,64,48,65,1,138,102,19,3372,0,10,3,570515054,49
OneRepublic,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,,Major,13,5,2022,2020,I Ain't Worried,11,1,140,71,81,127,241,37,458,332,76,8431,0,6,5,1085685420,82
The Weeknd,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,C#,Minor,24,11,2016,2015,Die For You,9,1,134,59,52,21,68,0,24,259,59,2483,0,15,7,1647990401,51
"The Weeknd, Daft Punk",https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,G,Major,21,9,2016,2015,Starboy,16,2,186,68,59,137,281,1,2445,140,79,29536,0,13,28,2565529693,49
"Ariana Grande, The Weeknd",Not Found,C#,Minor,24,2,2023,2020,Die For You - Remix,23,2,67,53,53,86,87,1,74,16,47,3408,0,44,7,518745108,50
"Feid, Myke Towers, Sky Rompiendo",Not Found,A#,Minor,2,6,2023,2020,El Cielo,7,3,106,72,64,64,44,10,57,110,38,1298,0,10,5,107753850,17
"David Guetta, Anne-Marie, Coi Leray",https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a,G,Major,6,4,2023,2020,Baby Don't Hurt Me,0,3,128,60,91,111,145,11,213,810,66,4277,0,12,3,177740666,23
Karol G,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,F#,Minor,24,2,2023,2020,AMARGURA,18,1,107,92,70,71,14,10,23,176,39,1133,0,15,7,153372011,55
Peggy Gou,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522,G,Minor,15,6,2023,2020,(It Goes Like) Nanana - Edit,12,1,130,67,88,0,0,17,109,0,59,2259,19,8,4,57876440,96
Tom Odell,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,E,Minor,15,10,2012,2010,Another Love,70,1,123,45,54,122,250,19,3394,,83,18371,0,9,4,1813673666,13
The Weeknd,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,C#,Major,29,11,2019,2015,Blinding Lights,0,1,171,50,80,199,672,20,3421,,69,43899,0,9,7,3703895074,38
Kali Uchis,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,G,Minor,24,2,2023,2020,Moonlight,51,1,137,64,72,79,67,1,57,615,42,2649,0,17,5,256483385,88
Manuel Turizo,https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a,G,Minor,26,5,2022,2020,La Bachata,58,1,125,84,68,111,139,15,161,210,45,6804,0,22,4,1214083358,85
Karol G,https://i.scdn.co/image/ab67616d0000b273890cfb712167a0186918644e,,Minor,14,7,2023,2020,S91,59,1,128,86,72,115,34,6,39,216,41,525,0,9,19,16011326,42
Taylor Swift,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,,Minor,24,7,2020,2020,cardigan,55,1,130,61,58,112,106,4,142,215,29,7923,0,27,4,812019557,53
"dennis, MC Kevin o Chris",Not Found,B,Major,4,5,2023,2020,TÃ¯Â¿Â½Ã¯Â¿,50,2,130,86,96,17,27,4,73,167,15,731,1,9,5,111947664,59
"PinkPantheress, Ice Spice",https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,F,Major,3,2,2023,2020,Boy's a liar Pt. 2,25,2,133,70,81,84,154,14,102,37,41,5184,0,25,5,156338624,86
"Charlie Puth, BTS, Jung Kook",https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49,D,Major,24,6,2022,2020,Left and Right (Feat. Jung Kook of BTS),62,3,101,88,59,0,38,0,4,0,39,3107,0,9,3,720434240,72
"Rauw Alejandro, ROSALÃ¯Â¿Â½",Not Found,F,Minor,24,3,2023,2020,BESO,74,2,95,77,64,121,82,12,182,171,50,4053,0,17,14,357925728,53
"Ozuna, Feid",https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45,C#,Minor,6,10,2022,2020,Hey Mor,0,2,98,90,59,79,63,11,89,16,38,4637,0,10,29,674072710,40
Chris Molitor,https://i.scdn.co/image/ab67616d0000b273be011d16b9360a7dee109774,B,Major,1,1,1999,1995,Yellow,0,1,173,43,66,2,196,5,4053,0,43,31358,0,23,3,1755214421,28
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,G#,Major,21,10,2022,2020,Karma,7,1,90,64,62,55,37,0,32,272,23,3818,0,48,7,404562836,10
Libianca,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735,A#,Minor,2,12,2022,2020,People,55,1,198,59,42,64,105,8,169,529,56,3506,0,10,7,373199958,71
Post Malone,https://i.scdn.co/image/ab67616d0000b27372694fed173af6d24d22eefb,C#,Major,14,7,2023,2020,Overdrive,0,1,140,56,73,32,36,1,31,26,36,410,0,35,4,14780425,48
Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,G#,Major,7,7,2023,2020,Enchanted (Taylor's Version),1,1,82,51,53,93,32,2,8,5,24,148,0,15,3,39578178,22
"Rauw Alejandro, Bizarrap",https://i.scdn.co/image/ab67616d0000b2730ff08e0346b55268e735a4e9,C#,Minor,23,6,2023,2020,BABY HELLO,17,2,130,77,89,80,42,3,58,169,35,1004,0,43,5,54266102,84
Glass Animals,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,B,Major,28,6,2020,2020,Heat Waves,44,1,81,76,53,144,386,28,707,,63,22543,0,9,9,2557975762,53
JVKE,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954,C#,Minor,15,7,2022,2020,golden hour,65,1,94,51,59,58,70,18,109,230,36,4511,18,25,3,751134527,14
The Neighbourhood,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,A#,Major,14,5,2012,2010,Sweater Weather,5,1,124,61,81,87,166,1,1056,,61,16413,2,10,3,2282771485,41
"Bizarrap, Quevedo",https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf,D,Major,6,7,2022,2020,"Quevedo: Bzrp Music Sessions, Vol. 52",1,2,128,62,78,65,94,14,164,176,45,8506,3,23,4,1356565093,55
Coldplay,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,F,Minor,1,1,2008,2005,Viva La Vida,9,1,138,49,62,0,233,9,4095,0,62,33898,0,11,3,1592909789,42
d4vd,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7,E,Major,17,7,2022,2020,Here With Me,50,1,132,58,48,85,94,1,68,84,23,3246,0,12,3,635412045,27
"Sam Smith, Kim Petras",https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,D,Major,22,9,2022,2020,Unholy (feat. Kim Petras),1,2,131,71,47,108,216,26,331,154,42,8576,0,27,9,1230675890,24
"Yandel, Feid",https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700,F#,Minor,20,12,2022,2020,Yandel 150,5,2,168,78,73,74,47,14,80,194,38,3618,0,10,7,585695368,58
Maria Becerra,Not Found,C#,Major,22,6,2023,2020,CORAZÃ¯Â¿Â½Ã¯Â¿Â½N VA,33,1,98,68,79,16,12,4,18,93,20,370,0,30,6,43857627,40
Vance Joy,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,C#,Major,1,1,1975,1975,Riptide,43,1,102,48,73,65,300,1,1003,0,55,31123,0,15,4,2009094673,50
"Em Beihold, Stephen Sanchez",Not Found,A#,Major,22,4,2022,2020,Until I Found You (with Em Beihold) - Em Beihold Version,78,2,101,34,57,96,60,0,71,115,30,2790,0,20,3,600976848,32
"Mc Livinho, DJ Matt D",Not Found,F,Major,23,6,2023,2020,Novidade na Ã¯Â¿Â½Ã¯Â¿,76,2,130,63,34,6,9,2,25,72,9,267,0,35,9,39709092,36
Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,D,Major,7,7,2023,2020,Back To December (Taylor's Version),1,1,142,50,64,72,16,0,5,8,17,139,0,12,3,39228929,20
"Justin Bieber, The Kid Laroi",Not Found,C#,Major,9,7,2021,2020,STAY (with Justin Bieber),4,2,170,59,76,99,492,31,798,0,36,17050,0,10,5,2665343922,48
"Marshmello, Manuel Turizo",https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f,G#,Minor,3,3,2023,2020,El Merengue,3,2,124,78,68,75,80,11,110,323,44,2114,1,11,4,223633238,70
Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,C#,Major,8,11,2018,2015,Someone You Loved,75,1,110,50,41,125,440,0,1800,,53,17836,0,11,3,2887241814,45
"Chencho Corleone, Bad Bunny",Not Found,C#,Minor,6,5,2022,2020,Me Porto Bonito,9,2,92,91,71,120,104,26,141,49,43,8870,0,9,8,1440757818,43
Jain,https://i.scdn.co/image/ab67616d0000b27364ba66f8a81c52364e55db50,D,Major,22,6,2015,2015,Makeba,39,1,116,82,66,148,150,22,2703,1451,53,6060,51,25,7,165484133,40
"Ayparia, unxbected",Not Found,A,Major,20,6,2012,2010,MONTAGEM - FR PUNK,70,2,129,63,82,52,1,0,8,1170,50,641,8,9,7,58054811,84
Luke Combs,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,G#,Major,24,3,2023,2020,Fast Car,19,1,98,71,60,97,57,0,35,429,12,1446,0,12,3,157058870,67
Doechii,https://i.scdn.co/image/ab67616d0000b2732ee85751f6f503fa9a533eba,C#,Minor,17,3,2023,2020,What It Is (Solo Version),6,1,172,74,76,76,29,0,24,162,25,804,0,10,9,95131998,76
"Bad Bunny, Eladio Carrion",Not Found,D,Major,17,3,2023,2020,Coco Chanel,4,2,150,68,76,89,28,5,29,82,38,1962,0,10,4,250305248,14
Taylor Swift,Not Found,A,Minor,8,11,2017,2015,DonÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½t Bl,11,1,136,62,53,45,19,0,0,10,23,4875,0,6,4,685032533,19
Jung Kook,https://i.scdn.co/image/ab67616d0000b273a7f42c375578df426b37638d,C#,Minor,5,6,2020,2020,Still With You,9,1,88,53,47,107,2,0,8,0,39,31,0,83,4,38411956,34
"J. Cole, Lil Durk",Not Found,D#,Major,12,5,2023,2020,All My Life (feat. J. Cole),15,2,143,83,44,145,69,2,69,478,23,2175,0,10,33,144565150,69
Lana Del Rey,https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae,F#,Minor,17,3,2023,2020,Say Yes To Heaven,71,1,100,49,35,105,49,1,63,0,46,2000,9,11,3,127567540,17
SZA,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,F,Major,9,12,2022,2020,Snooze,14,1,143,56,55,156,58,1,42,236,25,2839,0,11,13,399686758,39
Lana Del Rey,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7,C#,Minor,1,1,2011,2010,Summertime Sadness,7,1,112,56,66,143,89,3,1632,200,52,20333,0,12,3,983637508,24
BTS,https://i.scdn.co/image/ab67616d0000b2738a701e76e8845928f6cd81c8,G,Major,9,6,2023,2020,Take Two,3,1,93,62,59,106,20,4,25,78,47,674,0,38,3,118482347,57
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,G,Major,1,1,2012,2010,Lover,50,1,206,43,55,110,160,0,163,5,23,8448,0,15,10,882831184,50
"Future, Metro Boomin, Don Toliver",https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,G,Minor,2,12,2022,2020,Too Many Nights (feat. Don Toliver & with Future),15,3,88,68,71,119,17,2,19,266,58,2110,0,11,5,286400165,17
Post Malone,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c,D,Major,14,4,2023,2020,Chemical,0,1,170,50,90,91,56,3,59,486,39,2528,0,12,5,172825906,37
Eminem,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023,E,Minor,1,1,2004,2000,Mockingbird,21,1,84,62,67,98,49,5,2394,204,61,12985,0,13,28,1241559043,24
NewJeans,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,E,Minor,7,7,2023,2020,New Jeans,51,1,134,81,72,166,8,4,4,34,35,77,0,12,5,29562220,53
Carin Leon,https://i.scdn.co/image/ab67616d0000b273dc0bb68a08c069cf8467f1bd,A#,Major,20,4,2022,2020,Primera Cita,61,1,158,54,40,40,6,6,6,202,27,266,0,10,6,77309611,50
"Dua Lipa, Elton John, Pnau",Not Found,C#,Major,10,11,2017,2015,Cold Heart - PNAU Remix,4,3,116,80,80,135,384,37,1034,312,52,21097,0,10,3,1605224506,92
Ruth B.,https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707,C#,Major,28,4,2017,2015,Dandelions,2,1,117,61,69,100,41,1,59,32,21,3423,0,9,3,1116995633,45
Imagine Dragons,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,F,Minor,11,3,2021,2020,Bones,2,1,114,77,72,108,98,17,327,153,44,4198,0,7,5,838079900,65
Adele,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,D,Minor,1,1,2011,2010,Set Fire to the Rain,0,1,108,61,68,112,88,5,2163,519,43,14739,0,13,3,1163620694,47
"Kendrick Lamar, Jay Rock",https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797,E,Minor,1,1,2012,2010,Money Trees,7,2,144,74,53,113,69,0,695,458,32,26792,0,21,10,1093605526,37
Anggi Marito,https://i.scdn.co/image/ab67616d0000b2732844c4e4e984ea408ab7fd6f,F,Major,2,12,2022,2020,Tak Segampang Itu,76,1,130,51,44,6,7,0,0,48,6,213,0,11,3,179659294,18
"Jasiel NuÃ¯Â¿Â½Ã¯Â¿Â½ez, Peso P",Not Found,B,Major,22,6,2023,2020,LAGUNAS,33,2,116,77,62,106,2,2,4,184,18,58,1,15,3,39058561,79
Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,G,Major,7,7,2023,2020,Mine (Taylor's Version),0,1,121,65,78,52,21,1,6,0,15,99,0,17,4,36912123,49
Tears For Fears,https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235,G,Major,17,2,1985,1985,Everybody Wants To Rule The World,36,1,112,64,81,32,101,0,2655,666,25,41751,0,11,6,1205951614,54
J. Cole,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,A#,Minor,9,12,2014,2010,No Role Modelz,30,1,100,70,52,65,80,0,476,14,36,21164,0,6,33,1791000570,47
Loreen,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6,D#,Minor,25,2,2023,2020,Tattoo,24,1,150,55,78,102,74,18,145,925,59,2988,0,12,8,201660859,30
"Taiu, Milo j",https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100,F,Minor,8,2,2023,2020,Rara Vez,18,2,120,84,71,23,19,3,24,88,38,893,0,34,17,248088961,96
"Sebastian Yatra, Manuel Turizo, BeÃ¯Â¿Â½Ã¯",Not Found,B,Minor,12,5,2023,2020,VAGABUNDO,4,3,127,82,85,58,40,8,47,203,34,1094,0,23,6,90839753,89
Taylor Swift,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,F,Major,24,7,2020,2020,august,53,1,90,51,61,81,25,1,61,44,22,7324,0,9,3,607123776,42
"Junior H, Peso Pluma",Not Found,A,Minor,22,6,2023,2020,LUNA,33,2,128,75,63,117,19,1,8,74,11,201,0,15,4,55842345,79
"Calvin Harris, Ellie Goulding",https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0,A,Major,10,3,2023,2020,Miracle (with Ellie Goulding),4,2,143,64,87,115,161,9,246,638,48,5120,4,8,4,211050784,31
Sabrina Carpenter,https://i.scdn.co/image/ab67616d0000b273700f7bf79c9f063ad0362bdf,G#,Major,15,7,2022,2020,Nonsense,3,1,139,74,68,12,69,8,38,64,27,2346,0,26,4,342897938,68
"Carin Leon, Grupo Frontera",https://i.scdn.co/image/ab67616d0000b2735c7336d25ca101fbb0855647,A#,Major,9,12,2022,2020,Que Vuelvas,19,2,162,49,64,110,21,9,21,71,26,763,0,11,4,2762,78
Peso Pluma,https://i.scdn.co/image/ab67616d0000b273427d9aa38866b43ed45f6b0c,,Major,11,6,2021,2020,Por las Noches,31,1,92,81,60,116,8,3,4,2,24,457,0,7,3,330346424,39
Feid,Not Found,F,Major,19,8,2022,2020,Feliz CumpleaÃ¯Â¿Â½Ã¯Â¿Â½os Fe,10,1,95,87,55,69,45,4,52,3,38,3430,0,29,7,601863821,57
"Ray Dalton, Ryan Lewis, Macklemore",Not Found,D,Major,16,8,2011,2010,Can't Hold Us (feat. Ray Dalton),3,3,146,63,93,44,201,2,6551,0,52,6074,0,10,8,1953533826,88
Harry Styles,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,,Major,17,11,2019,2015,Watermelon Sugar,12,1,95,55,82,115,437,12,1212,,34,21915,0,34,5,2322580122,56
"Billie Eilish, Khalid",Not Found,E,Minor,11,8,2017,2015,lovely - Bonus Track,93,2,115,35,30,96,221,2,1078,136,30,15032,0,10,3,2355719893,12
"Rauw Alejandro, Bizarrap",Not Found,B,Major,21,6,2023,2020,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",10,2,128,78,65,59,25,5,32,88,32,871,0,26,5,66902503,59
